Open,High,Low,Close,Adj_Close,Volume
242.990005,244.039993,241.610001,243.259995,243.259995,302900
242.979996,243.889999,240.889999,243.5,243.5,309300
244.830002,245.570007,240.729996,242.479996,242.479996,480100
242.699997,245.410004,242.330002,242.520004,242.520004,392000
242.0,246.539993,241.309998,245.889999,245.889999,304000
245.860001,248.990005,245.339996,245.970001,245.970001,408700
246.710007,251.300003,245.740005,249.5,249.5,497100
250.669998,255.089996,248.639999,251.339996,251.339996,492400
251.619995,253.460007,250.839996,251.699997,251.699997,309200
251.699997,256.220001,251.699997,254.460007,254.460007,449900
253.75,254.770004,252.110001,253.479996,253.479996,307400
253.369995,255.149994,252.210007,254.039993,254.039993,374800
253.369995,254.279999,249.639999,251.0,251.0,526300
251.089996,251.699997,243.639999,245.649994,245.649994,734400
245.429993,247.300003,242.839996,244.259995,244.259995,511500
244.169998,246.399994,241.919998,242.550003,242.550003,379200
244.5,247.990005,243.550003,246.110001,246.110001,508200
246.479996,248.089996,241.320007,242.429993,242.429993,641000
242.399994,246.059998,241.699997,245.649994,245.649994,343500
246.139999,249.75,245.710007,249.289993,249.289993,362700
248.940002,249.889999,247.070007,247.940002,247.940002,320300
247.720001,248.860001,242.110001,242.940002,242.940002,377500
243.669998,247.699997,242.0,245.220001,245.220001,543000
244.929993,245.729996,240.020004,240.899994,240.899994,509200
241.960007,243.720001,239.259995,242.020004,242.020004,713800
243.5,244.130005,240.789993,241.130005,241.130005,668700
239.660004,243.210007,239.009995,242.710007,242.710007,345700
243.369995,245.970001,242.729996,245.839996,245.839996,293700
246.690002,247.979996,243.479996,244.389999,244.389999,309700
244.279999,249.830002,244.279999,248.679993,248.679993,411200
248.460007,250.679993,248.139999,249.660004,249.660004,383100
250.0,252.690002,247.779999,248.919998,248.919998,272900
249.110001,249.919998,241.630005,242.380005,242.380005,473800
243.600006,245.149994,238.809998,239.360001,239.360001,434100
237.899994,238.199997,229.820007,231.110001,231.110001,643300
231.110001,233.5,226.279999,229.240005,229.240005,496500
228.440002,229.940002,220.509995,224.289993,224.289993,667700
223.690002,227.119995,222.0,223.899994,223.899994,567900
223.600006,224.910004,216.639999,217.210007,217.210007,591400
216.410004,219.990005,212.550003,214.110001,214.110001,531300
219.600006,223.330002,216.410004,222.419998,222.419998,850100
221.899994,222.039993,216.860001,216.899994,216.899994,390300
